"Suburb","Total_Number","BYO_Only","Ordinary_Trading_Hours","Gambling_Allowed"
"IRYMPLE",14,0,3,0
"IVANHOE",52,1,29,1
"IVANHOE EAST",7,0,4,0
"JACANA",2,0,0,1
"JAMIESON",7,0,2,0
"JAN JUC",10,0,2,0
"JARKLIN",1,0,1,0
"JEPARIT",5,0,3,0
"JINDIVICK",2,1,0,0
"JOHANNA",1,0,0,0
"JOHNSONVILLE",2,0,1,0
"JOLIMONT",2,0,1,0
"JORDANVILLE",1,0,0,0
"JUNCTION VILLAGE",1,0,1,0
"JUNORTOUN",4,0,0,0
"KAARIMBA",1,0,0,0
"KALIMNA",2,0,1,0
"KALIMNA WEST",2,0,1,0
"KALKALLO",1,0,0,0
"KALKEE",1,0,0,0
"KALLISTA",8,2,4,0
"KALORAMA",2,0,1,0
"KANGAROO FLAT",21,0,8,2
"KANGAROO GROUND",11,0,3,0
"KANIVA",8,1,1,0
"KANUMBRA",1,0,0,0
"KANYAPELLA",4,0,0,0
"KARADOC",1,0,0,0
"KARADOC VIA RED CLIFFS",1,0,0,0
"KARDELLA SOUTH",3,0,0,0
"KARINGAL",5,0,3,0
"KATAMATITE",4,0,0,0
"KATANDRA WEST",5,0,1,0
"KATUNGA",5,0,0,0
"KEALBA",8,1,2,1
"KEILOR",17,0,5,1
"KEILOR DOWNS",3,0,1,1
"KEILOR EAST",24,4,10,0
"KEILOR NORTH",1,0,0,0
"KEILOR PARK",14,1,1,0
"KENLEY",1,0,0,0
"KENNINGTON",4,0,3,0
"KENNINGTON VIA BENDIGO",1,0,0,0
"KENSINGTON",47,1,23,0
"KEON PARK",4,0,1,0
"KERANG",19,3,2,1
"KERGUNYAH",1,0,1,0
"KERNOT",2,0,2,0
"KEVINGTON",1,0,0,0
"KEW",89,7,35,0
"KEW EAST",22,0,10,1
"KEYSBOROUGH",40,4,15,2
"KIALLA",14,1,2,1
"KIALLA WEST",3,0,2,0
"KIEWA",2,0,1,0
"KILCUNDA",4,0,1,0
"KILLARNEY",3,0,1,0
"KILMORE",26,1,11,1
"KILSYTH",17,0,10,1
"KILSYTH SOUTH",1,0,1,0
"KING VALLEY",6,0,1,0
"KINGLAKE",4,0,3,0
"KINGLAKE CENTRAL",2,0,0,0
"KINGOWER",2,0,0,0
"KINGOWER VIA INGLEWOOD",1,0,0,0
"KINGSBURY",10,2,3,0
"KINGSTON",1,0,1,0
"KINGSVILLE",4,0,4,0
"KIRKSTALL",1,0,0,0
"KNOWSLEY",3,0,0,0
"KNOXFIELD",17,3,3,0
"KOO-WEE-RUP",2,0,1,0
"KOO WEE RUP",7,3,1,0
"KOONDROOK",3,0,1,0
"KOONOOMOO",4,0,3,0
"KOONWARRA",2,0,1,0
"KOORLONG",3,0,1,0
"KOOYONG",8,0,2,0
"KOROIT",11,0,4,0
"KORONG VALE",3,0,0,0
"KORUMBURRA",23,4,7,1
"KOTUPNA",1,0,0,0
"KOYUGA",1,0,0,0
"KYABRAM",20,1,4,1
"KYABRAM WEST",1,0,0,0
"KYNETON",51,2,28,2
"LAANG",1,1,0,0
"LABERTOUCHE",2,0,1,0
"LACEBY",1,0,0,0
"LAHARUM",4,0,1,0
"LAKE BOGA",7,0,1,0
"LAKE BOLAC",6,0,1,0
"LAKE BUNGA",1,0,0,0
"LAKE CHARM",2,0,1,0
"LAKE CULLULLERAINE",1,1,0,0
"LAKE EPPALOCK",1,1,0,0
"LAKE GILLEAR",1,0,0,0
"LAKE HUME VIA EBDEN",1,0,0,0
"LAKE LONSDALE",1,0,0,0
"LAKE TYERS BEACH",2,0,0,0
"LAKE WELLINGTON",1,0,0,0
"LAKE WENDOUREE",1,0,0,0
"LAKES ENTRANCE",40,2,14,3
"LAL LAL",1,0,0,0
"LALBERT",3,0,0,0
"LALOR",24,2,11,1
"LAMPLOUGH",2,0,0,0
"LANCASTER",1,0,0,0
"LANCEFIELD",24,0,2,0
"LANDSBOROUGH",4,0,1,0
"LANG LANG",9,1,2,0
"LANGWARRIN",15,1,8,1
"LARA",25,0,11,2
"LARA LAKE",1,0,0,0
"LASCELLES",1,0,0,0
"LAUNCHING PLACE",2,0,0,0
"LAVERS HILL",5,0,5,0
"LAVERTON",23,2,9,2
"LAVERTON NORTH",5,0,2,0
"LEARMONTH",7,0,0,0
"LEICHARDT",1,0,0,0
