"Category","Trading Hours","Maximum Capacity","Suburb","Postcode","Latitude","Longitude","Region","Gaming"
"BYO Permit","Unspecified","Unspecified","HUNTINGDALE","3166","-37.90902600","145.10422200","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","CAMBERWELL","3124","-37.84776900","145.07569800","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","SUNBURY","3429","-37.58120520","144.72966590","Metro North","Not allowed"
"BYO Permit","Unspecified","Unspecified","BAYSWATER","3153","-37.84206223","145.26449160","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","MORWELL","3840","-38.23842514","146.39481580","Gippsland","Not allowed"
"BYO Permit","Unspecified","Unspecified","BOX HILL","3128","-37.81854800","145.12458000","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOORABBIN","3189","-37.92555741","145.03580490","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","MCKINNON","3204","-37.91074700","145.03715900","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","SPRINGVALE","3171","-37.94919000","145.15170500","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","WARRAGUL","3820","-38.16040463","145.92965450","Gippsland","Not allowed"
"BYO Permit","Unspecified","Unspecified","ENDEAVOUR HILLS","3802","-37.97567100","145.25814600","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","CLAYTON","3168","-37.92447709","145.11963950","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","RESERVOIR","3073","-37.69993300","144.99656000","Metro North","Not allowed"
